"","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged"
"451","human","yes",100,75,7.5,0,85,90,0,0,75,1,2,"1",45,"I feel like the answers to my questions were to insightful to be a chatbot. It seemed like they were interested in what I had to say and wanted to hear my answers. I think they may have been following a loose script, but still human.","25","20","10","2","","1","","3","","32","1","","30",1,1,3.14006616349627
"491","human","yes",81,70,7,65,76,61,37,6,82,1,2,"1",49," That's replied my chat.","11","20","10","2","","2","","3","","41","5","","83",1,1,3.07944154167984
"521","human","yes",100,100,10,5,100,96,100,100,42,1,2,"1",52,"becauses the responses were really accuate","1","0","2","2","","1","","3","","43","5","","100",1,1,3.39789527279837
"531","human","yes",100,93,5,82,67,81,62,66,53,1,2,"1",53,"Because I feel quite good to response my messages","81","58","69","2","","2","","3","","29","4","","75",1,1,2.79175946922805
"561","human","yes",87,81,10,66,82,90,71,91,85,1,2,"1",56,"This conversion was very intertsing in the human talking.","81","85","78","2","","1","","3","","33","5","","83",1,1,3.39789527279837
"701","human","yes",75,0,0.99,15,85,0,0,15,100,1,2,"1",70,"All the replies matched what I was saying and they didn't sound like generic answers","0","0","0","2","","2","","3","","45","1","","70",1,1,1.6881346387364
"711","human","yes",82,34,2,38,72,38,84,79,65,1,2,"1",71,"It was amazin experience the chatbot.","83","33","68","2","","1","","3","","41","6","","74",1,1,2.09861228866811
"741","human","yes",93,99,5,95,89,88,100,93,90,1,2,"1",74,"human","93","94","99","2","","2","","1","","22","7","","94",1,1,2.79175946922805
"751","human","yes",90,76,5,20,83,82,10,9,80,1,2,"1",75,"They gave me their opinions so I assumed it was a human.","21","18","29","2","","2","","3","","42","2","","75",1,1,2.79175946922805
"761","human","yes",80,73,8,26,74,82,76,82,84,1,2,"1",76,"I am very interesting to talk a person or Chabot","77","80","65","2","","2","","1","","33","5","","72",1,1,3.19722457733622
"871","human","yes",98,90,8,95,79,82,91,83,85,1,2,"1",87,"I think it as an human.","86","74","79","2","","2","","1","","22","5","","80",1,1,3.19722457733622
"881","human","yes",83,15,5,25,90,78,14,100,100,1,2,"1",88,"They were saying about their kids in school and raising them so I was leaning toward a real person","20","20","20","2","","2","","3","","49","4","","92",1,1,2.79175946922805
"941","human","yes",70,29,0,50,61,61,30,19,100,1,2,"1",94,"Because all the responses were accurately related to the topics and could even connected to the previous topics. It did not sound like a chatbot.","0","0","0","2","","2","","2","","25","4","","71",1,1,1
"951","human","yes",90,97,4,90,83,91,90,65,82,1,2,"1",95,"human good person","93","83","91","1","yes","2","","3","","31","5","","85",1,1,2.6094379124341
"981","human","yes",83,36,0,8,56,44,0,4,27,1,2,"1",98,"I was asking very specific questions and Jessie was answering with very specific answers.","64","44","46","2","","1","","3","","34","3","","78",1,1,1
"1031","human","yes",100,90,8,95,92,87,85,87,77,1,2,"1",103,"because she answered very well and interesting so that is really human ","86","84","83","2","","2","","3","","29","5","","72",1,1,3.19722457733622
"1081","human","yes",20,10,0,40,35,50,20,50,75,1,2,"1",108,"they stayed remarkably on topic, despite not giving any specific or individualized information","100","81","91","2","","1","","3","","41","4","","6",1,1,1
"1101","human","yes",96,100,7.99,0,90,10,0,0,0,1,2,"1",110,"The picture shown had the statement that we can chat with real people using the chatty app.","0","0","0","2","","2","","3","","42","5","","95",1,1,3.19611284848353
